"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"192","76590.29411764706","51859","123574","84.05882352941177","18","521"
"193","76748.88235294117","51974","123679","66.52941176470588","24","307"
"194","76921.25490196078","52138","123805","72.6078431372549","18","526"
"195","77059.94117647059","52199","123873","57.627450980392155","19","421"
"196","77178.07843137255","52246","123990","48.509803921568626","17","131"
"197","77341.92156862745","52285","124078","68.7843137254902","13","758"
"198","77469.58823529411","52429","124183","52.78431372549019","19","125"
"199","77630.56862745098","52528","124235","67.52941176470588","15","713"
"200","77776.50980392157","52667","124323","60.86274509803921","13","381"
"201","77925.4705882353","52762","124595","62.1764705882353","13","360"
"202","78050.60784313726","52825","124699","51.6078431372549","24","136"
"203","78169.76470588235","52957","124773","49","18","108"
"204","78369.58823529411","53009","124935","84.84313725490196","14","1169"
"205","78546.98039215687","53113","125304","74.80392156862744","17","554"
"206","78708.25490196078","53306","125482","67.68627450980392","16","486"
"207","78888.54901960785","53358","125734","76.09803921568627","19","798"
"208","79016.80392156863","53434","125873","53.03921568627451","14","379"
"209","79141.7843137255","53513","126271","51.568627450980394","15","173"
"210","79280.7843137255","53664","126323","57.745098039215684","19","179"
"211","79416.72549019608","53765","126440","56.3921568627451","14","343"
"212","79536.45098039215","53842","126530","49.254901960784316","21","98"
"213","79649.29411764706","53918","126663","46.15686274509804","17","90"
"214","79805.19607843137","54033","126787","65.25490196078431","14","449"
"215","79950.80392156863","54132","126978","60.72549019607843","15","400"
"216","80080.11764705883","54202","127174","53.470588235294116","18","267"
"217","80236.19607843137","54271","127324","65.3921568627451","18","510"
"218","80373.27450980392","54388","127390","56.92156862745098","17","227"
"219","80487.7843137255","54523","127471","46.86274509803921","23","136"
"220","80615.37254901961","54613","127561","52.745098039215684","13","181"
"221","80750.1568627451","55108","127606","55.86274509803921","13","235"
"222","80872.7843137255","55219","127678","50.509803921568626","21","317"
"223","81006.07843137255","55338","127756","55.254901960784316","18","358"
"224","81129.37254901961","55414","128164","50.80392156862745","14","177"
"225","81252.72549019608","55657","128337","50.80392156862745","19","125"
